"bike_id","start_date","month","start_time","end_time","ride_time","time_frame","user_type","start_station_id","station_name"
902,"2017-06-28",6,"15:14:33.32","15:23:31.861",8,"short","Subscriber",14,"Clay St at Battery St"
210,"2017-06-28",6,"15:14:37.249","15:23:22.324",8,"short","Subscriber",50,"2nd St at Townsend St"
1048,"2017-06-28",6,"15:15:10.975","15:18:09.793",2,"short","Customer",6,"The Embarcadero at Sansome St"
286,"2017-06-28",6,"15:16:18.094","16:01:17.397",44,"long","Subscriber",59,"S Van Ness Ave at Market St"
185,"2017-06-28",6,"15:17:20.156","15:25:11.426",7,"short","Subscriber",50,"2nd St at Townsend St"
831,"2017-06-28",6,"15:18:29.503","22:21:13.582",2,"short","Customer",28,"The Embarcadero at Bryant St"
357,"2017-06-28",6,"15:19:02.683","15:27:01.861",7,"short","Subscriber",50,"2nd St at Townsend St"
1048,"2017-06-28",6,"15:19:59.56","16:49:08.501",29,"meduim","Customer",6,"The Embarcadero at Sansome St"
124,"2017-06-28",6,"15:20:03.705","16:48:57.696",28,"meduim","Customer",6,"The Embarcadero at Sansome St"
827,"2017-06-28",6,"15:27:02.623","15:50:24.857",23,"meduim","Customer",8,"The Embarcadero at Vallejo St"
315,"2017-06-28",6,"15:27:09.802","15:41:10.913",14,"meduim","Customer",8,"The Embarcadero at Vallejo St"
261,"2017-06-28",6,"15:28:57.76","15:41:37.922",12,"meduim","Customer",8,"The Embarcadero at Vallejo St"
86,"2017-06-28",6,"15:28:57.954","15:50:26.747",21,"meduim","Customer",8,"The Embarcadero at Vallejo St"
784,"2017-06-28",6,"15:31:08.862","15:50:45.153",19,"meduim","Customer",8,"The Embarcadero at Vallejo St"
740,"2017-06-28",6,"15:34:56.153","16:29:12.585",54,"long","Customer",14,"Clay St at Battery St"
71,"2017-06-28",6,"15:35:44.855","15:47:04.902",11,"meduim","Subscriber",28,"The Embarcadero at Bryant St"
624,"2017-06-28",6,"15:37:24.683","15:47:57.042",10,"short","Subscriber",81,"Berry St at 4th St"
18,"2017-06-28",6,"15:38:32.866","15:55:27.243",16,"meduim","Subscriber",36,"Folsom St at 3rd St"
329,"2017-06-28",6,"15:39:17.654","15:48:25.707",9,"short","Subscriber",21,"Montgomery St BART Station (Market St at 2nd St)"
